Object,Teff,Lum,Distance,Parallax,Av,logg,[Fe/H]
HIP_69673,4328.411024212837,176.05802750582723,11.257457833918483,88.83,0.0009689766111088,1.6049469334176507,-0.003699823459074
HIP_82396,4501.803719052114,53.712875320111934,19.53506596654289,51.19,0.0016930373651517,2.1569865519407405,-0.011005992412412
HIP_21421,3824.129703640938,412.5296403260325,20.433184063357334,48.94,0.0014651317917797,1.0123621345166205,-0.0058066103483631
HIP_102488,4728.459792332724,55.83979321293721,22.29157348181684,44.86,0.0020360130886802,2.250719432554628,-0.0124547911823645
HIP_61084,3557.254532680963,801.5523559498431,27.151777091599545,36.83,0.0018534845501844,0.5622201710810275,-0.0227964564438575
HIP_72607,4041.8636903486913,435.33069853910064,40.14452051889072,24.91,0.0024863327430015,0.8767000224723147,-0.0386000919357501
HIP_89642,3580.0761038219207,486.38631681885056,44.74272854281895,22.35,0.0038851121447336,0.7808552741921404,-0.0267713357650801
HIP_87833,3972.271453777794,567.2072479400495,47.30369105354218,21.14,0.0034977722316341,0.8272998948441286,-0.0369976847246887
HIP_79593,3765.005320472119,558.7936466840235,52.11119561167078,19.06,0.0046995808502876,0.8412838298468408,-0.0033573753077866
HIP_112122,3438.9730656848405,3065.84600853425,54.25935884109375,18.43,0.0029207918070295,0.1828364555338524,-0.0395874556190157
HIP_21479,2602.078027781099,6775.296951747764,54.614966093257166,18.31,0.0024957700271032,-0.499,-0.0482191530357314
HIP_46390,4166.331286802888,786.0393330561526,55.27915929049583,18.09,0.0023706396231463,0.877624468144599,-0.0083219726404542
HIP_67457,3366.2002558392123,785.0448793150459,56.116723744414415,17.82,0.0037398212181555,0.4725999012121051,-0.0317343439438201
HIP_36377,3935.90391639329,366.84935422350696,59.38242226478393,16.84,0.0026538349402488,1.0719082843831735,-0.0407044859134061
HIP_113881,3531.943148974824,1711.084307063748,60.09615605046771,16.64,0.0044679281918709,0.2347334471597868,-0.028282224938728
